,longitude,latitude,housing_median_age,population,households,median_income,median_house_value,ocean_proximity,avg_rooms_per_household,avg_bedrooms_per_household
36,-122.27,37.83,48.0,987.0,374.0,1.0972,104500.0,NEAR BAY,4.807486631016043,1.1550802139037433
37,-122.28,37.83,52.0,901.0,403.0,1.4103,103900.0,NEAR BAY,3.7493796526054592,0.967741935483871
38,-122.26,37.83,52.0,689.0,309.0,3.48,191400.0,NEAR BAY,4.757281553398058,1.0679611650485437
39,-122.26,37.83,52.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,3.4942528735632186,1.0272988505747127
40,-122.26,37.83,52.0,946.0,395.0,2.0978,155400.0,NEAR BAY,4.215189873417722,1.0607594936708862
41,-122.26,37.83,51.0,517.0,249.0,1.2852,150000.0,NEAR BAY,3.7590361445783134,1.248995983935743
42,-122.26,37.84,49.0,462.0,189.0,1.025,118800.0,NEAR BAY,3.7724867724867726,1.0687830687830688
43,-122.26,37.84,52.0,467.0,198.0,3.9643,188800.0,NEAR BAY,4.797979797979798,1.02020202020202
44,-122.26,37.83,52.0,660.0,292.0,3.0125,184400.0,NEAR BAY,4.941780821917808,1.0650684931506849
45,-122.26,37.83,52.0,718.0,382.0,2.6768,182300.0,NEAR BAY,4.335078534031414,1.0994764397905759
46,-122.26,37.83,50.0,616.0,304.0,2.026,142500.0,NEAR BAY,3.700657894736842,1.0592105263157894
47,-122.27,37.82,43.0,558.0,253.0,1.7348,137500.0,NEAR BAY,3.9802371541501977,1.233201581027668
48,-122.26,37.82,40.0,423.0,160.0,0.9506,187500.0,NEAR BAY,3.9,1.21875
49,-122.27,37.82,40.0,700.0,352.0,1.775,112500.0,NEAR BAY,2.6875,1.0653409090909092
50,-122.27,37.82,21.0,735.0,438.0,0.9218,171900.0,NEAR BAY,2.045662100456621,1.0342465753424657
51,-122.27,37.82,43.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,4.58968058968059,1.1203931203931203
52,-122.27,37.82,41.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,4.473611111111111,1.1847222222222222
53,-122.27,37.82,52.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,4.075,1.14
54,-122.28,37.82,52.0,701.0,233.0,1.6098,87500.0,NEAR BAY,5.021459227467811,1.0085836909871244
55,-122.28,37.82,52.0,576.0,220.0,1.4113,83100.0,NEAR BAY,4.295454545454546,1.1045454545454545
56,-122.28,37.82,52.0,622.0,259.0,1.5057,87500.0,NEAR BAY,4.77992277992278,1.111969111969112
57,-122.28,37.82,52.0,728.0,244.0,0.8172,85300.0,NEAR BAY,6.102459016393443,1.3729508196721312
58,-122.28,37.82,52.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,4.5625,1.1217105263157894
59,-122.29,37.82,2.0,94.0,57.0,2.5625,60000.0,NEAR BAY,2.7719298245614037,0.7543859649122807
60,-122.29,37.83,52.0,554.0,187.0,3.3929,75700.0,NEAR BAY,5.994652406417113,1.1283422459893049
61,-122.29,37.82,49.0,86.0,23.0,6.1183,75000.0,NEAR BAY,5.869565217391305,1.2608695652173914
62,-122.29,37.81,50.0,377.0,122.0,0.9011,86100.0,NEAR BAY,6.229508196721311,1.5573770491803278
63,-122.3,37.81,52.0,521.0,159.0,1.191,76100.0,NEAR BAY,7.69811320754717,1.490566037735849
64,-122.3,37.81,48.0,392.0,133.0,2.5938,73500.0,NEAR BAY,6.225563909774436,1.368421052631579
65,-122.3,37.81,52.0,604.0,187.0,1.1667,78400.0,NEAR BAY,5.401069518716578,1.1176470588235294
66,-122.3,37.81,48.0,788.0,332.0,0.8056,84400.0,NEAR BAY,4.382530120481928,1.0662650602409638
67,-122.29,37.8,52.0,492.0,147.0,2.6094,81300.0,NEAR BAY,6.98639455782313,1.6598639455782314
68,-122.3,37.81,52.0,274.0,82.0,1.8516,85000.0,NEAR BAY,6.975609756097561,1.329268292682927
69,-122.29,37.81,46.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,4.584288052373159,1.0540098199672667
70,-122.29,37.81,26.0,392.0,127.0,1.7719,82500.0,NEAR BAY,6.047244094488189,1.1968503937007875
71,-122.29,37.81,46.0,582.0,277.0,0.7286,95200.0,NEAR BAY,3.375451263537906,1.0722021660649819
72,-122.29,37.81,49.0,560.0,152.0,1.75,75000.0,NEAR BAY,5.552631578947368,1.3421052631578947
73,-122.29,37.81,46.0,18.0,7.0,0.4999,67500.0,NEAR BAY,1.7142857142857142,0.5714285714285714
74,-122.29,37.81,20.0,290.0,133.0,2.483,137500.0,NEAR BAY,6.2781954887218046,1.2105263157894737
75,-122.28,37.81,17.0,762.0,439.0,0.9241,177500.0,NEAR BAY,2.8177676537585423,1.0523917995444192
76,-122.28,37.81,36.0,1236.0,509.0,2.4464,102100.0,NEAR BAY,5.724950884086444,1.1041257367387034
77,-122.28,37.81,19.0,721.0,207.0,1.1111,108300.0,NEAR BAY,5.830917874396135,1.173913043478261
78,-122.29,37.81,23.0,1054.0,325.0,0.8026,112500.0,NEAR BAY,5.369230769230769,1.1507692307692308
79,-122.28,37.8,38.0,344.0,155.0,2.0114,131300.0,NEAR BAY,4.412903225806452,1.135483870967742
80,-122.28,37.81,17.0,609.0,289.0,1.5,162500.0,NEAR BAY,3.1972318339100347,1.0
81,-122.27,37.81,52.0,183.0,56.0,1.1667,112500.0,NEAR BAY,3.75,1.0
82,-122.28,37.81,52.0,200.0,87.0,1.5208,112500.0,NEAR BAY,3.9080459770114944,1.1149425287356323
83,-122.28,37.81,52.0,346.0,155.0,0.8075,137500.0,NEAR BAY,2.490322580645161,1.0580645161290323
84,-122.28,37.81,35.0,467.0,169.0,1.8088,118800.0,NEAR BAY,5.609467455621302,1.0887573964497042
85,-122.28,37.81,52.0,377.0,115.0,2.4083,98200.0,NEAR BAY,6.721739130434782,1.2434782608695651
86,-122.27,37.81,40.0,582.0,380.0,0.977,118800.0,NEAR BAY,2.3157894736842106,1.186842105263158
87,-122.27,37.81,10.0,546.0,330.0,0.76,162500.0,NEAR BAY,2.6515151515151514,1.0545454545454545
88,-122.27,37.8,10.0,125.0,39.0,0.9722,137500.0,NEAR BAY,2.6923076923076925,1.0769230769230769
89,-122.27,37.8,52.0,396.0,85.0,1.2434,500001.0,NEAR BAY,2.929411764705882,0.9176470588235294
90,-122.27,37.8,16.0,800.0,362.0,2.0938,162500.0,NEAR BAY,2.74585635359116,1.0828729281767955
91,-122.28,37.8,52.0,904.0,88.0,0.8668,137500.0,NEAR BAY,2.4431818181818183,0.9886363636363636
92,-122.28,37.8,52.0,191.0,34.0,0.75,162500.0,NEAR BAY,2.823529411764706,0.9117647058823529
93,-122.27,37.79,27.0,718.0,302.0,2.6354,187500.0,NEAR BAY,3.493377483443709,1.1490066225165563
94,-122.27,37.8,39.0,1327.0,467.0,1.8477,179200.0,NEAR BAY,3.6723768736616704,1.3340471092077089
95,-122.26,37.8,36.0,3469.0,2323.0,2.0096,130000.0,NEAR BAY,2.294016358157555,1.066293585880327
96,-122.26,37.82,31.0,2048.0,1180.0,2.8345,183800.0,NEAR BAY,3.8949152542372882,1.1279661016949152
97,-122.26,37.81,29.0,202.0,91.0,2.0062,125000.0,NEAR BAY,3.681318681318681,1.1758241758241759
98,-122.26,37.82,22.0,2024.0,1250.0,1.2185,170000.0,NEAR BAY,2.9456,1.016
99,-122.26,37.82,37.0,1838.0,980.0,2.6104,193100.0,NEAR BAY,3.7071428571428573,1.1071428571428572
100,-122.25,37.81,29.0,2304.0,1250.0,2.4912,257800.0,NEAR BAY,3.7248,1.1312
101,-122.25,37.81,28.0,2563.0,1497.0,3.2177,273400.0,NEAR BAY,3.8784235136940546,1.070808283233133
102,-122.25,37.81,39.0,389.0,228.0,3.125,237500.0,NEAR BAY,3.745614035087719,1.0614035087719298
103,-122.25,37.81,52.0,895.0,613.0,2.5795,350000.0,NEAR BAY,3.5154975530179446,1.1435562805872757
104,-122.26,37.81,34.0,2689.0,1789.0,2.8406,335700.0,NEAR BAY,3.281721632196758,1.0698714365567357
105,-122.24,37.82,52.0,674.0,244.0,4.9306,313400.0,NEAR BAY,6.184426229508197,0.9221311475409836
106,-122.24,37.81,52.0,709.0,456.0,3.2727,268500.0,NEAR BAY,4.442982456140351,1.0570175438596492
107,-122.25,37.81,52.0,686.0,422.0,3.1691,259400.0,NEAR BAY,4.165876777251185,1.0900473933649288
108,-122.24,37.82,52.0,1444.0,718.0,3.9,275700.0,NEAR BAY,4.848189415041783,1.0459610027855153
109,-122.25,37.82,28.0,1520.0,802.0,3.9063,225000.0,NEAR BAY,4.160847880299252,1.0660847880299251
110,-122.25,37.82,52.0,550.0,253.0,5.0917,262500.0,NEAR BAY,5.628458498023716,1.1422924901185771
111,-122.25,37.82,32.0,1806.0,1022.0,2.6429,218500.0,NEAR BAY,3.7270058708414875,1.0743639921722115
112,-122.25,37.82,26.0,1749.0,1217.0,3.0233,255000.0,NEAR BAY,3.2530813475760065,0.9827444535743632
113,-122.25,37.83,52.0,939.0,519.0,3.1484,224100.0,NEAR BAY,4.578034682080925,1.0770712909441233
114,-122.25,37.83,35.0,675.0,422.0,3.4722,243100.0,NEAR BAY,3.822274881516588,1.014218009478673
115,-122.25,37.83,52.0,534.0,291.0,3.1429,231600.0,NEAR BAY,4.3951890034364265,0.9862542955326461
116,-122.25,37.83,28.0,2558.0,1661.0,2.4234,218500.0,NEAR BAY,3.0234798314268514,1.053582179409994
117,-122.25,37.83,52.0,1786.0,1037.0,3.0897,234100.0,NEAR BAY,4.040501446480231,1.0655737704918034
118,-122.23,37.84,50.0,970.0,373.0,5.8596,327600.0,NEAR BAY,6.742627345844504,1.0697050938337802
119,-122.23,37.84,47.0,1098.0,485.0,5.2868,347600.0,NEAR BAY,6.546391752577319,0.9360824742268041
120,-122.24,37.83,41.0,794.0,376.0,5.956,366100.0,NEAR BAY,6.851063829787234,1.0797872340425532
121,-122.24,37.85,37.0,98.0,47.0,4.9643,335000.0,NEAR BAY,7.1063829787234045,1.148936170212766
122,-122.23,37.85,52.0,1061.0,403.0,6.3434,373600.0,NEAR BAY,6.947890818858561,1.0198511166253101
123,-122.24,37.84,52.0,1177.0,555.0,5.1773,389500.0,NEAR BAY,6.358558558558559,1.0342342342342343
124,-122.24,37.85,52.0,901.0,367.0,7.2354,391100.0,NEAR BAY,7.11716621253406,0.9945504087193461
125,-122.22,37.85,28.0,2031.0,956.0,5.457,337300.0,NEAR BAY,5.5303347280334725,1.096234309623431
126,-122.22,37.84,50.0,1031.0,479.0,7.5,295200.0,NEAR BAY,6.127348643006263,0.9874739039665971
127,-122.21,37.84,44.0,1358.0,597.0,6.0194,292300.0,NEAR BAY,5.735343383584589,1.0
128,-122.21,37.83,40.0,1616.0,654.0,7.5544,411500.0,NEAR BAY,7.631498470948012,1.0305810397553516
129,-122.2,37.84,30.0,844.0,343.0,6.0666,311500.0,NEAR BAY,6.446064139941691,1.0087463556851313
130,-122.21,37.84,34.0,1140.0,496.0,7.0548,325900.0,NEAR BAY,6.125,0.9879032258064516
131,-122.19,37.84,18.0,533.0,194.0,11.6017,392600.0,NEAR BAY,8.335051546391753,1.0824742268041236
132,-122.2,37.84,35.0,1072.0,443.0,7.4882,319300.0,NEAR BAY,6.467268623024831,1.0383747178329572
133,-122.21,37.83,34.0,1627.0,766.0,6.8976,333300.0,NEAR BAY,6.6122715404699735,1.0287206266318538
134,-122.19,37.83,28.0,463.0,190.0,8.2049,335200.0,NEAR BAY,6.978947368421053,0.968421052631579
135,-122.2,37.83,26.0,542.0,211.0,8.401,351200.0,NEAR BAY,7.530805687203792,1.0568720379146919
136,-122.19,37.83,29.0,661.0,269.0,6.8538,368900.0,NEAR BAY,6.657992565055762,1.0074349442379182
137,-122.19,37.82,32.0,635.0,263.0,8.317,365900.0,NEAR BAY,6.977186311787072,1.0038022813688212
138,-122.2,37.82,37.0,420.0,176.0,7.0175,366700.0,NEAR BAY,6.982954545454546,1.0284090909090908
139,-122.2,37.82,39.0,1265.0,500.0,6.3302,362800.0,NEAR BAY,7.54,1.068
140,-122.18,37.81,30.0,126.0,52.0,6.3624,483300.0,NEAR BAY,5.615384615384615,0.7307692307692307
141,-122.21,37.82,52.0,813.0,350.0,7.0549,331400.0,NEAR BAY,6.785714285714286,0.9514285714285714
142,-122.2,37.81,45.0,1067.0,426.0,6.7851,323500.0,NEAR BAY,6.957746478873239,1.0234741784037558
143,-122.21,37.8,50.0,1260.0,552.0,2.8929,216700.0,NEAR BAY,5.132246376811594,1.0960144927536233
144,-122.21,37.8,38.0,951.0,487.0,3.0812,233100.0,NEAR BAY,4.628336755646817,1.0985626283367556
145,-122.21,37.81,52.0,510.0,224.0,5.2402,296400.0,NEAR BAY,6.200892857142857,0.9464285714285714
146,-122.22,37.81,52.0,765.0,308.0,6.5217,273700.0,NEAR BAY,6.39935064935065,1.0876623376623376
147,-122.22,37.8,52.0,1129.0,460.0,3.2632,227700.0,NEAR BAY,4.745652173913044,1.0108695652173914
148,-122.22,37.8,52.0,1073.0,441.0,3.0298,199600.0,NEAR BAY,5.183673469387755,1.0521541950113378
149,-122.22,37.8,52.0,1185.0,515.0,4.5428,239800.0,NEAR BAY,5.283495145631068,1.050485436893204
150,-122.22,37.81,52.0,756.0,340.0,4.072,270100.0,NEAR BAY,5.952941176470588,0.9970588235294118
151,-122.22,37.81,52.0,1034.0,521.0,5.3509,302100.0,NEAR BAY,5.65067178502879,1.0287907869481765
152,-122.23,37.8,52.0,787.0,459.0,3.1603,269500.0,NEAR BAY,4.429193899782135,1.0588235294117647
153,-122.23,37.81,52.0,612.0,213.0,4.7708,314700.0,NEAR BAY,6.727699530516432,1.0751173708920188
154,-122.22,37.81,52.0,1021.0,380.0,8.1564,390100.0,NEAR BAY,7.7026315789473685,1.0578947368421052
155,-122.23,37.81,52.0,861.0,258.0,8.8793,410300.0,NEAR BAY,8.972868217054264,1.1317829457364341
156,-122.24,37.81,52.0,953.0,327.0,6.8591,352400.0,NEAR BAY,7.599388379204893,0.9571865443425076
157,-122.24,37.81,52.0,634.0,256.0,6.0302,287300.0,NEAR BAY,5.8203125,0.9296875
158,-122.23,37.81,52.0,878.0,352.0,7.508,348700.0,NEAR BAY,7.994318181818182,1.0369318181818181
159,-122.24,37.81,52.0,918.0,483.0,2.7477,243800.0,NEAR BAY,4.333333333333333,1.1387163561076605
160,-122.24,37.8,52.0,360.0,175.0,2.1944,211500.0,NEAR BAY,5.074285714285714,0.96
161,-122.25,37.8,52.0,1197.0,488.0,3.0149,218400.0,NEAR BAY,4.276639344262295,1.0450819672131149
162,-122.24,37.81,52.0,1048.0,518.0,3.675,269900.0,NEAR BAY,4.851351351351352,0.9691119691119691
163,-122.25,37.81,46.0,1373.0,747.0,3.225,218800.0,NEAR BAY,4.326639892904953,1.1178045515394912
164,-122.25,37.8,42.0,1715.0,1015.0,2.9345,225000.0,NEAR BAY,4.059113300492611,1.0492610837438423
165,-122.25,37.8,43.0,1359.0,722.0,2.1429,250000.0,NEAR BAY,3.2742382271468142,1.0969529085872576
166,-122.25,37.8,41.0,1062.0,413.0,1.6121,171400.0,NEAR BAY,3.5617433414043584,1.1355932203389831
167,-122.25,37.8,29.0,1335.0,773.0,1.3929,193800.0,NEAR BAY,3.1927554980595083,1.1177231565329884
168,-122.24,37.79,27.0,1171.0,429.0,2.3173,125000.0,NEAR BAY,3.804195804195804,1.1468531468531469
169,-122.25,37.79,45.0,1475.0,460.0,1.7772,97500.0,NEAR BAY,3.882608695652174,1.1434782608695653
170,-122.25,37.79,50.0,742.0,196.0,2.6458,125000.0,NEAR BAY,3.2091836734693877,0.9591836734693877
171,-122.25,37.79,52.0,1086.0,363.0,2.181,138800.0,NEAR BAY,3.6887052341597797,1.0771349862258952
172,-122.25,37.8,36.0,1645.0,543.0,2.2303,116700.0,NEAR BAY,3.0902394106813995,1.1160220994475138
173,-122.25,37.8,43.0,1710.0,644.0,1.6504,151800.0,NEAR BAY,3.639751552795031,1.0046583850931676
174,-122.24,37.8,52.0,731.0,228.0,2.2697,127000.0,NEAR BAY,4.368421052631579,1.0
175,-122.24,37.8,52.0,1118.0,347.0,2.1563,128600.0,NEAR BAY,4.585014409221902,1.07492795389049
176,-122.24,37.8,52.0,1006.0,335.0,2.1348,140600.0,NEAR BAY,4.7343283582089555,1.1880597014925374
177,-122.24,37.8,47.0,1213.0,554.0,2.6292,182700.0,NEAR BAY,3.693140794223827,1.0613718411552346
178,-122.23,37.8,52.0,772.0,257.0,2.3833,146900.0,NEAR BAY,4.638132295719845,1.1245136186770428
179,-122.24,37.8,52.0,1321.0,401.0,2.957,122800.0,NEAR BAY,4.496259351620948,1.0473815461346634
180,-122.24,37.8,49.0,1487.0,677.0,2.5238,169300.0,NEAR BAY,4.192023633677991,1.106351550960118
181,-122.23,37.8,52.0,488.0,186.0,1.9375,126600.0,NEAR BAY,4.209677419354839,0.989247311827957
182,-122.23,37.8,51.0,949.0,392.0,1.9028,127900.0,NEAR BAY,4.0561224489795915,1.0561224489795917
183,-122.23,37.8,50.0,1149.0,415.0,2.25,123500.0,NEAR BAY,4.20722891566265,1.1566265060240963
184,-122.23,37.8,52.0,844.0,280.0,2.3929,111900.0,NEAR BAY,4.4714285714285715,1.0678571428571428
185,-122.23,37.79,43.0,4367.0,1231.0,2.1917,112800.0,NEAR BAY,4.844029244516653,1.091795288383428
186,-122.23,37.79,52.0,1659.0,412.0,2.9357,107900.0,NEAR BAY,4.327669902912621,0.9587378640776699
187,-122.23,37.79,30.0,1011.0,263.0,1.8854,137500.0,NEAR BAY,3.7984790874524714,1.0038022813688212
188,-122.24,37.79,39.0,1464.0,389.0,2.1638,105500.0,NEAR BAY,3.776349614395887,1.1079691516709511
189,-122.24,37.79,47.0,1237.0,303.0,2.125,95500.0,NEAR BAY,4.528052805280528,1.3036303630363035
190,-122.24,37.79,52.0,647.0,168.0,3.375,116100.0,NEAR BAY,4.011904761904762,1.0714285714285714
191,-122.24,37.79,43.0,1284.0,357.0,2.2542,112200.0,NEAR BAY,4.554621848739496,1.0532212885154062
192,-122.25,37.79,51.0,228.0,55.0,2.1,75000.0,NEAR BAY,3.1818181818181817,0.7818181818181819
193,-122.25,37.79,39.0,381.0,123.0,1.6,112500.0,NEAR BAY,3.747967479674797,1.048780487804878
194,-122.25,37.79,52.0,846.0,227.0,3.625,125000.0,NEAR BAY,3.973568281938326,1.0440528634361232
195,-122.26,37.8,20.0,1659.0,676.0,1.6929,115000.0,NEAR BAY,3.510355029585799,1.1523668639053255
196,-122.22,37.77,52.0,520.0,138.0,1.6471,95000.0,NEAR BAY,2.8333333333333335,0.927536231884058
197,-122.22,37.77,52.0,866.0,259.0,2.59,96400.0,NEAR BAY,4.38996138996139,1.162162162162162
198,-122.23,37.77,52.0,612.0,183.0,2.57,72000.0,NEAR BAY,4.202185792349726,1.1256830601092895
199,-122.23,37.78,52.0,415.0,126.0,2.6429,71300.0,NEAR BAY,3.746031746031746,1.1587301587301588
200,-122.23,37.78,52.0,994.0,213.0,3.0257,80800.0,NEAR BAY,4.046948356807512,1.0093896713615023
201,-122.22,37.78,50.0,1525.0,477.0,1.4886,128800.0,NEAR BAY,4.0251572327044025,1.1111111111111112
202,-122.23,37.78,43.0,1506.0,438.0,1.9338,112500.0,NEAR BAY,3.2420091324200913,1.0776255707762556
203,-122.23,37.78,52.0,1008.0,255.0,1.4844,119400.0,NEAR BAY,3.8666666666666667,1.011764705882353
204,-122.23,37.78,44.0,2813.0,751.0,1.6009,118100.0,NEAR BAY,3.1158455392809588,1.0985352862849533
205,-122.23,37.79,48.0,1481.0,343.0,2.0375,122500.0,NEAR BAY,4.944606413994169,1.154518950437318
206,-122.23,37.79,49.0,859.0,219.0,2.293,106300.0,NEAR BAY,5.365296803652968,0.9908675799086758
207,-122.22,37.79,37.0,1608.0,523.0,2.1494,132500.0,NEAR BAY,4.479923518164436,1.0975143403441683
208,-122.23,37.79,30.0,425.0,140.0,1.6198,122700.0,NEAR BAY,4.357142857142857,1.0357142857142858
209,-122.23,37.79,40.0,564.0,184.0,1.3281,113300.0,NEAR BAY,5.054347826086956,1.0815217391304348
210,-122.22,37.79,44.0,961.0,272.0,3.5156,109500.0,NEAR BAY,5.466911764705882,1.1544117647058822
211,-122.22,37.79,52.0,2273.0,685.0,3.9048,164700.0,NEAR BAY,4.998540145985402,1.0072992700729928
212,-122.21,37.79,52.0,600.0,195.0,3.0893,125000.0,NEAR BAY,3.9076923076923076,0.9743589743589743
213,-122.22,37.79,46.0,1647.0,527.0,2.6042,124700.0,NEAR BAY,4.489563567362429,1.0910815939278937
214,-122.22,37.79,49.0,1201.0,424.0,2.5,136700.0,NEAR BAY,4.306603773584905,1.0613207547169812
215,-122.22,37.79,38.0,2167.0,659.0,2.7969,141700.0,NEAR BAY,4.626707132018209,1.078907435508346
216,-122.2,37.79,29.0,939.0,340.0,2.8321,150000.0,NEAR BAY,4.823529411764706,1.1058823529411765
217,-122.21,37.79,47.0,859.0,292.0,2.9583,138800.0,NEAR BAY,5.284246575342466,1.0513698630136987
218,-122.21,37.79,34.0,1517.0,516.0,2.8365,139200.0,NEAR BAY,4.5813953488372094,1.0794573643410852
219,-122.21,37.79,35.0,1143.0,386.0,2.875,143800.0,NEAR BAY,4.520725388601036,1.0595854922279793
220,-122.21,37.8,39.0,1109.0,464.0,3.0682,156500.0,NEAR BAY,4.316810344827586,1.0775862068965518
221,-122.21,37.8,39.0,1221.0,446.0,3.0757,151000.0,NEAR BAY,4.524663677130045,1.0022421524663676
222,-122.2,37.8,43.0,1115.0,455.0,4.9559,273000.0,NEAR BAY,6.6923076923076925,1.0967032967032968
223,-122.2,37.8,52.0,706.0,268.0,4.7721,217100.0,NEAR BAY,5.772388059701493,1.0932835820895523
224,-122.21,37.8,52.0,1883.0,706.0,3.4861,187100.0,NEAR BAY,4.984419263456091,1.0070821529745042
225,-122.2,37.8,41.0,804.0,340.0,5.1184,239600.0,NEAR BAY,6.088235294117647,1.0411764705882354
226,-122.21,37.8,48.0,506.0,252.0,4.0977,229700.0,NEAR BAY,5.242063492063492,1.0436507936507937
227,-122.19,37.8,48.0,610.0,238.0,4.744,257300.0,NEAR BAY,7.117647058823529,1.088235294117647
228,-122.19,37.8,46.0,768.0,332.0,4.2727,246900.0,NEAR BAY,5.837349397590361,1.0271084337349397
229,-122.19,37.79,50.0,462.0,184.0,2.9844,179900.0,NEAR BAY,5.260869565217392,1.059782608695652
230,-122.2,37.79,40.0,667.0,235.0,4.1739,169600.0,NEAR BAY,4.51063829787234,1.0893617021276596
231,-122.2,37.8,46.0,1059.0,399.0,3.8487,203300.0,NEAR BAY,5.1152882205513786,1.0150375939849625
232,-122.19,37.8,52.0,637.0,277.0,4.0114,263400.0,NEAR BAY,6.5451263537906135,0.9783393501805054
233,-122.19,37.79,45.0,1106.0,454.0,4.6563,231800.0,NEAR BAY,5.986784140969163,0.9933920704845814
234,-122.19,37.79,28.0,1737.0,669.0,2.9297,140500.0,NEAR BAY,4.699551569506727,1.1375186846038865
235,-122.2,37.79,35.0,1009.0,390.0,2.3036,126000.0,NEAR BAY,4.62051282051282,1.176923076923077
236,-122.2,37.79,49.0,737.0,210.0,2.6667,122000.0,NEAR BAY,4.2,0.9285714285714286
237,-122.2,37.79,44.0,1354.0,491.0,2.619,134700.0,NEAR BAY,3.30142566191446,0.9205702647657841
238,-122.21,37.79,45.0,1530.0,474.0,2.4167,139400.0,NEAR BAY,4.462025316455696,1.1244725738396624
